,header
27,"Row(('66.249.65.118 - - [16/Nov/2018:21:06:23.780 +0000] pt.tommy.com ""GET /pt.tommy.com/men-tommy-jeans-capsule-collection HTTP/1.1"" 200 44494 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
28,"Row(('66.249.65.108 - - [16/Nov/2018:21:07:42.189 +0000] pl.tommy.com ""GET /pl.tommy.com/kobiety-wyprzedaz HTTP/1.1"" 200 60222 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
29,"Row(('66.249.73.144 - - [16/Nov/2018:21:07:56.785 +0000] fr.tommy.com ""GET /fr.tommy.com/tommy-jeans-outdoors HTTP/1.1"" 200 26551 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
30,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:00.040 +0000] fr.tommy.com ""GET /fr.tommy.com/bottes-femme HTTP/1.1"" 200 47875 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
31,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:00.133 +0000] fr.tommy.com ""GET /fr.tommy.com/manteaux-vestes-homme HTTP/1.1"" 200 55863 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
32,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:02.975 +0000] fr.tommy.com ""GET /fr.tommy.com/jeans-fille HTTP/1.1"" 200 36421 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
33,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:03.538 +0000] fr.tommy.com ""GET /fr.tommy.com/jeans-garcon HTTP/1.1"" 200 36294 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
34,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:03.214 +0000] fr.tommy.com ""GET /fr.tommy.com/tommy-icons HTTP/1.1"" 200 58821 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
35,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:04.255 +0000] fr.tommy.com ""GET /fr.tommy.com/basics-femme HTTP/1.1"" 200 55538 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
36,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:04.874 +0000] fr.tommy.com ""GET /fr.tommy.com/basics-homme HTTP/1.1"" 200 52366 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
